Question,Answer1,Answer2,Answer3,Correct Answer
Quelle est la formule de l'aire d'un cercle ?, 2 pi * r^2, 2 pi * r, pi * r^2, 3
Théo a un sachet de 31 bonbons. Il souhaite les partager équitablement avec ses 9 amis. Combiens de bonbons restera-t-il ?, 0, 1, 4, 2
Qui a crée le théorème permettant de trouvant l'agrandissement entre deux triangles comportant les mêmes angles ?, Thales, Pythagore, Fourier, 1
Quelle est l'image de la fonction f(x) = 3x^2 +2x -7 avec l'antécédent 7 ?, 154, 138, 107, 1
Quelle est la somme des premiers entiers naturels de 1 a 12 ?, 55, 78, 63, 2
Qui est le célèbre mathématicien qui a donné la notation d/d(x) ?, Leibniz, Descartes, Newton, 1
Quelle est l'hypothénuse du triangle rectangle de coté sqrt(52) et -6i ?, 4sqrt(11), 8sqrt(22), 2sqrt(2)sqrt(11), 3
Quelle est le produit scalaire de deux vecteur orthogonaux de longeur 7 et 4?, 28, 0, 14, 2
Tom affirme que la fonction f(x) = 0.8^x * sqrt(x) - x^2 tend vers 0 es-ce vrai ?, Oui, Non, Pas assez de précision, 2
Qui a trouvé la formule de l'intégrale ?, Riemann, Lebesgue et Henstock, Leibniz et Newton, 3
Vers quoi tend un polygone avec n cotés ?, Un cercle, Un carré, Une ligne, 1
Quelle est la formule du discrimant pour delta > 0 ?, -b/2a, c^2 -4ab, b^2 - 4ac, 3
Un objet a 10% de chance d'etre obtenu et 5% d'etre un arc. Quelle est la probabilité qu'il soit un arc ?, 0.05, 0.005, 0.025, 2
Quelle est la valeur de pi ?, 3.14159265358979323846269, 3.14159265358979323846264, 3.14159265358979323846272, 2
Qui a inventé le concept de factorielle ?, Christian Kamp, Leonhard Euler, Leibniz, 2
Quelle est la formule de e ?, la somme de 1 a n de 1/n!, l'intégrale de 0 a + l'infini de f(x) = pi * x / cos(x), Il n'y en a pas, 1
Qui a trouvé le nombre d'or ?, Joseph Fourier, René Descartes,Leonardo Fibonacci, 3
Que représente la suite d'or ?, Une suite avec des nombres compliqués, la somme des deux termes précedents, la division des deux nombres précédents, 2
Quelle est le plus grand nombre créable avec 64 bit en double précision ?, 1.79E308, 1.89E308, 1.69E308, 1
Comment se calcule une intégrale de "a" a "b" ?, f(a) - f(b), F(b) - F(a) + C, F(b) - F(a), 3
Que faut-il vérifier avant d'inverser une matrice carrée ?, (a+b) - (c+d) !=0, a*d - b*c != 0, a/d + b/d !=0, 2
En quoi consiste une primitive ?, multiplier par x, diviser par x, ajouter C, 1
Combien vaut factorielle(10) ?, 362880, 3628800, 1/362880, 2
Dans quel continent se situe notre petit pays d'URSS ?, L'Asie, L'Amérique, Aucun, 3
Dans quel pays se trouve la statue de la Liberté ?, Les Etats Unis, La france, Le mexique, 1
A quel continent appartient la Bolivie ?, L'Amérique du Nord, L'Amérique du Sud, L'Asie, 2
Quelle est la capitale de la France ?, Paris, Lyon, Nantes, 1
L'Afrique est-il un pays ?, Oui, Non, Selon les Américains oui, 2
Quel est le plus petit pays ?, Le luxembourg, La Mongolie, Le Vatican, 3
Dans quel continent vous trouvez-vous ?, L'Europe, L'Amérique, L'Afrique, 1
Quel est le pays avec le plus d'habitants ?, La Russie, L'Inde, La France, 2
Combiens il y a t-il d'océans ?, 7, 6, 5, 3
Quelle est la capital des Etats Unis ?, Washington, Los Angeles, Miami, 1
Combien de continents existent-ils ?, 7, 6, 3, 2
Quelle est la population de l'Inde en 2024 ?, 1.451 milliard, 1.319 milliard, 1.632 milliard, 1
Quelle est la définition de la superficie ?, La taille d'une ville, La hauteur d'une ville, L'aire d'une ville, 3
Quelle est la monnaie utilisé au Japon ?, Dollars, Yen, Bitcoin, 2
Qui est le président des Etats Unis ?, Emmanuel Macron, Donald Trump, Joe Biden, 2
Quel est le fleuve le plus long de France ?, La loire, La Seine, Le Rhône, 1
Quelle forme a la France ?, Circulaire, Rectangulaire, Hexagonale, 3
Quelle est la montagne la plus haute du Monde ?, L'Everest, Le Mont Blanc, le Mont Fuji, 1
Quel est le pays avec la plus garnde superficie ?, Le Canada, L'Amérique, La Russie, 3
Quelle était la monnaie avant l'Euro en France ?, Le dollar, Le franc, Le livre sterling, 2
Combien de pays sont en Europe ?, 50, 48, 52, 1
Combien de pays font de l'Union Européene ?, 28, 26, 27, 3
Combien de départements il y a t-il en France ?, 96, 101, 98, 2
Quelle était la population mondiale en 2024 ?, 8.421 milliards, 8.302 milliards, 8.142 milliards, 3
Quel pays a tenté d'utiliser la cryptomonnaie comme sa propre monnaie ?, Le Salvador, Le Mexique, L'Argentine, 1
Quel est le fuseau horraire maximum ?, 8 heures, 12 heures, 10 heures, 2
Quelle est la capitale de la Russie, Moscou, Stalingrad, Saint Pétersbourg, 1
Ou se trouve la république démocratique du Congo ?, Au Congo, En Afrique du Nord, En Afrique du Sud, 3
Combien il y a t-il de régions en France ?, 12, 14, 13, 3
Dans quel pays se trouve la ville de Melbourne ?, Russie, Australie, Inde, 2
Combien de pays existent-ils au total ?, 198, 195, 197, 2
Combien de drapeaux existent-ils pour les pays ?, 254, 195, 288, 1
Ou se situe la Mer Noire ?, Entre la Moldavie et la Turkie, Entre la Russie et la Mongolie, Entre le Vietnam et le Japon, 1
Combien de villes il y t-il en France ?, 7598, 24563, 36529, 3
Combien de fleuves il y a t-il en France ?, 11, 13, 12, 2
Quelle est la superficie de la Russie en kilomètres carrés ?, 17.1 millions, 14.3 millions, 16.2 millions, 1
Combien d'état existent-ils aux Etats Unis ?, 49, 50, 51, 2
Quel est le drapeau de la Lettonie (de haut en bas) ?, Rouge Jaune Blanc, Vert Jaune Vert, Rouge Blanc Rouge, 3
Quelle est la superficie en kilomètres carrés du plus petit pays au monde ?, 3.45, 2.11, 0.43, 3
Combien il y a t-il de massif montagneux en France ?, 6, 8, 5, 1
Quand avons-nous découvert l'Amérique ?, 1489, 1456, 1492, 3
Que s'est il passé le 14 juillet 1789 ?, Prise de la Bastille, L'exécution de louis XVI, Rien de particulier, 2
Quelles sont les dates de la seconde guerre mondiale ?, 1914-1919, 1939-1945, 1939-1944, 2
Quand es-ce que le feu a t-il été découvert ?, en -40000, en -236000, en -400000, 3
A quelle année le Moyen-Age commença ?, 476, -492, 1492, 1
De quelle nationalité était Napoléon ?, Italien, Français, Prussien, 2
Quand es-ce que les dinosaures se sont éteints ?, Il y a 66 millions d'années, Il y a 65 millions d'années, Il y a 100 millions d'année, 1
Quand avons-nous inventé l'écriture ?, En -3000, Il y a 3000 ans, En - 3300, 3
Quand es-ce que le Covid 19 commenca ?, En 2020, En 2019, En 2018, 2
Quand es-ce que l'époque contemporaine commença ?, En 1789, Aujourd'hui, En 1918, 1
Quand commença la première Guerre Mondiale ?, 1914, 1913, 1917, 1
Dans quel pays se trouvait et se trouve encore Athènes ?, La Serbie, La Grèce, L'Italie, 2
Qui fut le chancelier allemand pendant la seconde Guerre Mondiale ?, Stallin, Goebbles, Hitler, 3
Ou s'est situé la plus grande défaite de Napoléon Bonaparte ?, Austerlitz, Waterloo, Stallingrad, 2
Qui a découvert L'Amérique ?, Christophe Colomb, Fernand de Magelian, Diego Colomb, 1
Qui a été le plus grand Empereur Roamin ?, Benito Mussolini, Jules César, Napoléon Bonaparte, 2
Quel est la pays qui a le plus colonisé ?, La France, L'Espagne, La Grande Bretagne, 3
Qui était le plus grand opposant d'Hitler ?, Lui même, Joseph Stalline, F.D Roosevelt, 2
La France était elle du coté des allemands durant la seconde Guerre Mondiale ?, Oui, Non, Oui et Non, 3
Depuis quand la France est elle laïque ?, 1905, 1907, 2005, 1
Quand es-ce que le premier Homme fut découvert ?, Il y a 2.8 millions d'années, Il y a 3.2 millions d'années, Il y a 7 millions d'années, 2
Qui était le premier président Américain ?, George Washington, Christophe Colomb, Barack Obama, 1
En quelle année était la crise dit des "subprime" ?, 1929, 1953, 2008, 3
Quand es-ce que L'Amérique est devenue indépendante ?, En 1776, En 1789, En 1792, 1
Quand es-ce que le Front Populaire a t-il été crée en France ?, En 1905, En 1946, En 1936, 3
Quand es-ce que le droit de vote fut donné aux femmes ?, En 1945, En 1944, En 1946, 2
De quels pays étaient constitué la Triple Alliance ?, La France Les Etats Unis et La Russie, Le Japon L'Allemagne et L'Italie, L'Allemagne L'Autriche-Hongrie et L'Italie, 3
En quelle année est mort Stalline ?, 1945, 1953, 1956, 2
Quand es-ce que le drapeau Français fut choisi ?, En 1794, En 1792, En 1789, 1
Quand es ce que Hitler est mort ?, En 1945, En 1944, En 1947, 1
Quand es-ce que commenca la crise de 1929 ?, Le 29 Octobre 1929, Le 24 Octobre 1929, Le 31 Octobre 1929, 2
Combien de colonies a eu Grande Bretagne ?, 100, 120, 80, 2
Quand es-ce que le Japon se retira de la seconde Gerre Mondiale ?, Le 2 septembre 1945, Le 13 Novembre 1944, Le 6 avril 1945, 1
Combien de morts les Kolkhozes ont-ils provoqués ?, 4.5 millions, 5.5 millions, 5 millions, 3
Quand fut le serment du jeu de Paume ?, Le 14 Juillet 1789, Le 20 juin 1789, Le 15 Août 1789, 2
Quand es-ce que l'Union Européene fut crée ?, Le 1er Novembre 1993, Le 12 Décembre 1945, Le 21 Janvier 1970, 1
Quand es-ce que la Révolution Russe commenca ?, En 1919, En 1923, En 1917, 3
En quelles années la maladie de la peste infecta la France ?, Entre 1623 et 1625, Entre 1348 et 1350, Entre 1835 et 1837, 2
Quel Dictateur tua le plus d'humain ?, Hitler, Stalline, Mussolini, 2
Que s'est il passé le 10 mars 1940 ?, L'invasion de L'allemagne sur la France commenca, Les Américains entre en guerre, Chuck Norris est venu sur notre monde, 3
Qui est le héro de The Legend of Zelda ?, Zelda, Lynk, Gannon, 2
Quelle est l'entreprise derrière la franchise Pokemon ?, Nintendo, Sega, Valve, 1
Quel est le premier Mario en 3d ?, Super Mario RPG, Super Marios Bros 3, Super Mario 64, 3
Quel jeu récemment sortie sur Steam avait 5 millions de wishlist ?, Hollow Knight Silk Song, Megabonk, Dying Light : The Beast, 1
Quelle est la mascotte de pokémon ?, Melofée, Pikachu, Salamèche, 2
Quel jeu est réputé pour avoir une communeauté très toxique ?, Minecraft, League of Legends, Mobile Legends Bang Bang, 2
Quel type de jeu consiste a être joué automatiquement ?, Idle, Incremental, Tycoon, 1
A quelle génération somme-nous dans pokémon ?, 10 ème, 7 ème, 9 ème, 3
Qui est le personnage principal de la saga Metroid ?, Ridley, Virginia Aran, Samus Aran, 3
Combien existent-ils de types dans pokémon ?, 20, 18, 16, 2
Qui est le personnage principal de Detroit Become Human ?, Connor, Dan, Chloe, 1
Quelle jeu est souvent considére comme un Minecraft 2d ?, Pixel Craft, Stardew Valley, Terraria, 3
Quel est le jeu le plus vaste ?, No Man's sky, Minecraft, Terraria, 1
Quel jeu est réputé pour être le plus dur ?, Geometry Dash, Darks Souls, Gunz: The Duel, 2
Lequel de ces jeux n'est pas un jeu de rythme ?, Project Sekai, Osu!, Touhou, 3
Quelle l'entreprise derrière Steam ?, Blizzard, Valve, Nintendo, 2
Pendant combien de temps Pirate Sofware a t-il travaillé a Blizzard ?, 7 ans, 15 ans, 20 ans, 1
Quelle jeu a été le plus vendue ?, Minecraft, Tetris, GTA V, 2
Quel est le MMORPG le plus joué ?, Old School Runescape, World of Warcraft, Nexus: The Kingdom of the Winds, 2
Combien de pokemon il y avait-il dans la première génération ?, 151, 249, 150, 1
Quand fut créée Hatsune Miku ?, Le 27 Décembre 2007, Le 30 Janvier 2009, Le 31 Août 2007, 3
Quel jeu indépendant fut crée en 1996 et se voit toujours amélioré aujourd'hui avec la sortie d'un 20 ème opus?, EarthBound, Touhou, The legend of Zelda, 2
Quand sortit le premier Zelda ?, 1986, 1985, 1988, 1
Lequel de ces types est super-efficace contre le type ténèbre dans pokémon ?, Normal, Insecte, Acier, 2
Quelle est la limite d'un monde Minecraft ?, 3 000 000 de blocks, 30 000 000 millions de blocks, 60 000 000 millions de blocks, 3
Quel est le plus vieux MMORPG toujours joué aujourd'hui ?, Nexus: The Kingdom of the Winds, World of Warcraft, Old School runescape, 1
Dans quel région se situe la 4 ème génération de pokémon ?, Alola, Sinnoh, Jotho, 2
Quel jeu indépendant a été fait par presque une seule personne ?, Clair Obscur Expedition 33, Hollow Knight, Undertale, 3
Lequel de ces jeux est un "bullet hell" ?, Touhou, Osu!, Phigros, 1
Combien de puissance vous faut-il dans Rise of Kingdoms ?, 10 millions, 20 millions, 50 millions, 3
Combien existent-ils de champions dans League of Legends ?, 105, 137, 171, 3
Combien il y a t-il de pokémon dans le pokedex ?, 956, 1025, 837, 2
Quel jeu a été développé par Team Cherry ?, Stardew Valley, Terraria, Hollow Knight, 3
Quel jeu culte a été développé en 5 ans par une seul personne ?, Stardew Valley, Undertale, The Stanley Parable, 1
A quoi sert l'étoile du Nether dans Minecraft ?, A créer une boussole de récupération, A créer une balise, A créer la Masse, 2
Quel est le nom originel de la saga de jeux EarthBound ?, Mother, Ninten, Heart of Earth, 1
Quelle est la taille totale d'un monde Minecraft ?, 3 600 000 000 000 000 block, 446 400 000 000 000 000 blocks, 1 382 400 000 000 000 000 blocks, 3
Combien de jeux pokémon existent-ils ?, 9, 13, 18, 3
Comment faut-il appeler son personnage dans le premier Zelda pour accéder au mode difficile ?, Lynk, Zelda, Gannon, 2
Quel jeu requiert le plus d'actions par minutes ?, Gunz : The Duel, Starcraft, Age of Empires 2, 1
Combien de tours fait l'aiguille des heures ?, 12, 2, 24, 2
De quel coté doivent se mettre les fourchettes ?, A gauche, A droite, Qu'importe, 1
Quelle est la capitale de la Grande Bretagne ?, Manchester, Londres, Edinburgh, 2
Quelle est la couleur de l'herbe ?, Jaune, Marron, Verte, 3
Qui est l'actuel président des Etats Unis ?, Emmanuel Macron, Joe Biden, Donald Trump, 3
Qui a peint la Jouconde ?, Leaonard de Vinci, Leonardo Fibonacci, Leonardo Dicaprio, 1
Combien il y a t-il de consonnes dans notre alphabet ?, 7, 19, 26, 2
Qui a trouvé la relation mathématique E=mc² ?, Joseph Fourier, Mary Curie, Albert Einstein, 3
Quel a été la première cryptomonnaie ?, Le DogeCoin, Le Bitcoin, L'Unobtanium, 2
Quelle est la montagne la plus haute de France ?, Le Mont Blanc, Chamechaude, Barre Des Ecrins, 1
Comment dit-on "Ciel" en anglais ?, Skyward, Firmament, Sky, 3
Quelle est le diamètre de la Terre ?, 12800 killomètres ?, 10000 kilomètres, 14600 kilomètres, 1
Combien de coté a un décagone ?, 9, 10, 11, 2
Où se trouve la Tour Eiffel ?, En Amérique, A Londres, En France, 3
Qui est le chanteur de "Shape of you" ?, Rick Astley, Ed Sheeran, Luis Fonsi, 2
Quelle âge a l'univers ?, 13.8 milliards d'années, 14 milliards d'années, 13.7 milliards d'années, 1
Quelle est l'étoile au centre de notre système solaire ?, La Lune, Le Soleil, L'étoile C-418, 2
Comment se nomme notre plus petit doigt en longeur ?, Le petit doight, L'index, Le pouce, 3
Quel est le streamer avec le plus d'abonnés en France ?, Squeezie, Locklear, JDG, 1
Combien de centimètres font 1 mètre cube ?, 100, 1000, 1000000, 3
Combien de planètes a notre système solaire ?, 7, 8, 9, 2
Quel est le vrai nom de Chuck Norris ?, Chuck Norris, Aaron Norris, Carlos Ray Norris, 3
Quel est l'artiste qui a crée la musique "Idol" ?, Yoasobie, TUYU, Deco*27, 1
Qui a joué le rôle de Cordell Walker dans Walker Texas Ranger ?, Rick Astley, Leonardo Dicaprio, Chuck Norris, 3
Quelle est la capital de la Belgique ?, Lièges, Bruxelles, Anvers, 2
Qui a crée google ?, Larry Page, Steve Jobs, Jeff Bezos, 1
Quelle est la suite de "Never gonne give you up Never gonna let you down" ?, Never gonna desert you, Never gonna run around, Never gonna make you cry, 2
Quelle la tour la plus haute du monde ?, La tour Eiffel, Le Burj Khalifa, La tour de Shanghai, 2
Combien de pattes a une fourmi ?, 8, 4, 6, 3
Qui est l'auteur de la série culte Le Seigneur des Anneaux ?, J. R. R. Tolkien, Franz Kafka, William Faulkner, 1
Qui est l'auteur de la série culte "Kaguya-Sama Love is war" ?, Aka Akasaka, Takehiko Inoue, Tite Kubo, 1
Combien de lettres il y a t-il dans l'alphabet grecque ?, 28, 26, 24, 3
Lequel de ces jeux n'est pas un jeux de rythme ?, Osu Mania!, SkyForce, Project Sekai, 2
Quand est né Chuck Norris ?, Le 10 mars 1940, Le 21 Janvier 1942, Le 13 Novembre 1941, 1
Quelle âge a la célèbre chanteuse virtuelle Hatsune Miku ?, 16 ans, 17 ans, 18 ans, 3
Combien de minutes il y a t-il dans une journée ?, 720, 1440, 2160, 2
Qui a été le premier président Américain ?, Joe Biden, George Washington, Barrack Obama, 2
Quand es-ce que le premier ordinateur fut inventé ?, En 1944, En 1945, En 1946, 3
Qui a joué le rôle de Rose dans le Titanic ?, Kate Winslet, Natalie Portman, Emma Watson, 1
Quel est le plus grand pont du monde ?, Le Beijing Grand Bridge, Le Lake Pontchartrain Causeway, Le Changhua–Kaohsiung Viaduct, 2
Quelle est la taille du soutien gorge de Mia Khalifa ?, 102E, 56F, Jsp je suis pas un gros degueulasse, 1
